algorithm,dataset_name,dataset_dimensions(elements|features|classes),PCA,adversarial_noise,accuracy,precision,recall,f1
MMC_Supervised,isolet,(7797|617|26),10,0.1,0.3990766863298282,0.3941978179495156,0.39477995696937607,0.3893825960441225
MMC_Supervised,isolet,(7797|617|26),10,0.2,0.3880482174916645,0.3863249845014864,0.3950264278087709,0.3826847268785399
MMC_Supervised,isolet,(7797|617|26),10,0.3,0.39548602205693767,0.3914193635066447,0.39962750805339425,0.3886821676767163
LSML_Supervised,isolet,(7797|617|26),10,0,0.7401897922544242,0.7486326765943583,0.7407820222075997,0.7379392719536845
LSML_Supervised,isolet,(7797|617|26),10,0.1,0.7327519876891511,0.7368562029530215,0.7354617628075744,0.7345968190490944
LSML_Supervised,isolet,(7797|617|26),10,0.2,0.7378815080789947,0.7433687029953113,0.7404879425475921,0.7382950897510805
LSML_Supervised,isolet,(7797|617|26),10,0.3,0.7422416004103616,0.750265649053875,0.7432540157988743,0.741460637946896
ITML_Supervised,isolet,(7797|617|26),10,0,0.6358040523211079,0.6404970742465371,0.6376059318064631,0.6322493184965725
ITML_Supervised,isolet,(7797|617|26),10,0.1,0.5988715055142344,0.6078424655260938,0.600144592106642,0.5967160756343421
ITML_Supervised,isolet,(7797|617|26),10,0.2,0.65606565786099,0.6558911003282848,0.6538111479800542,0.6498977665161246
ITML_Supervised,isolet,(7797|617|26),10,0.3,0.6552962298025135,0.6582132292631423,0.653726040911528,0.6505845611505789
NCA,isolet,(7797|617|26),10,0,0.7417286483713773,0.7489669429969863,0.7478020466719169,0.744925543687175
NCA,isolet,(7797|617|26),10,0.1,0.7389074121569633,0.7427299303561565,0.7403103830348208,0.7388750989868881
NCA,isolet,(7797|617|26),10,0.2,0.7463452167222365,0.7495794081997291,0.7456579500710678,0.7442875551562959
NCA,isolet,(7797|617|26),10,0.3,0.7424980764298538,0.7459009296752345,0.742487193587513,0.7404753890473423
MLKR,isolet,(7797|617|26),10,0,0.7060784816619646,0.7075853990427644,0.7048931452262477,0.7027850317402071
MLKR,isolet,(7797|617|26),10,0.1,0.6768402154398564,0.6798708329986893,0.6803639415522144,0.6761800768346157
MLKR,isolet,(7797|617|26),10,0.2,0.6870992562195435,0.6963002269766114,0.6908589725771108,0.6867746078210785
MLKR,isolet,(7797|617|26),10,0.3,0.6417030007694281,0.6463074844649109,0.6401224845242255,0.6379946078242329
LFDA,isolet,(7797|617|26),10,0,0.7050525775839959,0.709016967895169,0.707331446573841,0.7028524923745079
LFDA,isolet,(7797|617|26),10,0.1,0.7158245704026673,0.721064036974243,0.7200440889658044,0.713586885502475
LFDA,isolet,(7797|617|26),10,0.2,0.7055655296229802,0.7106925260278409,0.70808470877606,0.7030393353684082
LFDA,isolet,(7797|617|26),10,0.3,0.7222364708899718,0.7297014709170789,0.7262276454244995,0.722389255300241
LMNN,isolet,(7797|617|26),10,0,0.7307001795332136,0.7369648377532603,0.7311937295160127,0.7286316922265486
LMNN,isolet,(7797|617|26),10,0.1,0.7150551423441908,0.7212059164414593,0.7124300409282921,0.7114891486759574
LMNN,isolet,(7797|617|26),10,0.2,0.6906899204924339,0.6969514376805908,0.6906722821845802,0.6893734025385669
LMNN,isolet,(7797|617|26),10,0.3,0.6912028725314183,0.6949050035279767,0.6913849979176175,0.6876992784788851
NCA,letters,(20000|16|26),10,0,0.9205,0.9214967826224599,0.9200254010571588,0.9201228522217906
NCA,letters,(20000|16|26),10,0.1,0.9089,0.910279655618645,0.909132400504179,0.909198052552543
NCA,letters,(20000|16|26),10,0.2,0.9232,0.9240431363661534,0.9228756473427201,0.92303979182914
NCA,letters,(20000|16|26),10,0.3,0.9151,0.9168210854102814,0.9151776517188654,0.9153099945561001
LFDA,letters,(20000|16|26),10,0,0.8649,0.8673110130953946,0.8638469975513744,0.8646135383355882
LFDA,letters,(20000|16|26),10,0.1,0.8583,0.8609077326388296,0.8582527973696146,0.8584863693812946
LFDA,letters,(20000|16|26),10,0.2,0.846,0.8489806198368274,0.8455268636093144,0.8460147135348144
LFDA,letters,(20000|16|26),10,0.3,0.8689,0.8710952605213712,0.8686441313794189,0.8688678623309308
LMNN,letters,(20000|16|26),10,0,0.9243,0.9258148920683577,0.9244508535185905,0.9246112025342442
LMNN,letters,(20000|16|26),10,0.1,0.8963,0.8986460042227017,0.8962847308514899,0.8965621226019466
LMNN,letters,(20000|16|26),10,0.2,0.8862,0.8879897348349408,0.8860192543809173,0.8864309204091565
LMNN,letters,(20000|16|26),10,0.3,0.8706,0.8750766932394825,0.8703543159636974,0.8711277105140762
RCA_Supervised,mnist,(4000|784|10),10,0,0.8205,0.8153850153094403,0.8175571636809398,0.8150802713135598
RCA_Supervised,mnist,(4000|784|10),10,0.1,0.8185,0.815510322043082,0.8163050780321426,0.8144817417549641
RCA_Supervised,mnist,(4000|784|10),10,0.2,0.83,0.8285589899648688,0.8301063969723691,0.8280667255448538
